tag,classification_id,name,category_id,admin_id,client_id,user_id,manufacturer_id,model_id,supplier_id,status_id,location_id,purchase_date,WARRANTY_MONTHS,SERIAL,NOTES,CUSTOMFIELDS,QRVALUE
tik-488,2,"1 Set CCTV Smart Class Room (1 NVR, 1 Mixer Amplifier, 1 Pasang Speaker, 4 Camera)",13,1,1,3,1,"1 Set CCTV Smart Class Room (1 NVR, 1 Mixer Amplifier, 1 Pasang Speaker, 4 Camera) ",1,2,1,2023-07-31,12,tik-488,,,
tik-489,2,"1 Set CCTV Smart Class Room (1 NVR, 1 Mixer Amplifier, 1 Pasang Speaker, 4 Camera)",13,1,1,3,1,"1 Set CCTV Smart Class Room (1 NVR, 1 Mixer Amplifier, 1 Pasang Speaker, 4 Camera) ",1,2,1,2023-07-31,12,tik-489,,,
tik-490,2,"1 Set CCTV Smart Class Room (1 NVR, 1 Mixer Amplifier, 1 Pasang Speaker, 4 Camera)",13,1,1,3,1,"1 Set CCTV Smart Class Room (1 NVR, 1 Mixer Amplifier, 1 Pasang Speaker, 4 Camera) ",1,2,1,2023-07-31,12,tik-490,,,
tik-491,2,"1 Set Smart Class Control Room (1 NVR, 1 Mixer Amplifier, 1 Pasang Speaker)",13,1,1,3,1,"1 Set CCTV Smart Class Room (1 NVR, 1 Mixer Amplifier, 1 Pasang Speaker, 4 Camera) ",1,2,1,2023-07-31,12,tik-491,,,
tik-492,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-492,,,
tik-493,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-493,,,
tik-494,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-494,,,
tik-495,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-495,,,
tik-496,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-496,,,
tik-497,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-497,,,
tik-498,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-498,,,
tik-499,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-499,,,
tik-500,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-500,,,
tik-501,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-501,,,
tik-502,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-502,,,
tik-503,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-503,,,
tik-504,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-504,,,
tik-505,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-505,,,
tik-506,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-506,,,
tik-507,2,Bullet Camera / DBSH,14,1,1,3,1,Bullet Camera / DBSH,1,2,1,2023-12-27,12,tik-507,,,
tik-508,2,Fish Eye Camera / DBSH,14,1,1,3,1,Fish Eye Camera / DBSH,1,2,1,2023-12-27,12,tik-508,,,
tik-509,2,Fish Eye Camera / DBSH,14,1,1,3,1,Fish Eye Camera / DBSH,1,2,1,2023-12-27,12,tik-509,,,
tik-510,2,Fish Eye Camera / DBSH,14,1,1,3,1,Fish Eye Camera / DBSH,1,2,1,2023-12-27,12,tik-510,,,
tik-511,2,Fish Eye Camera / DBSH,14,1,1,3,1,Fish Eye Camera / DBSH,1,2,1,2023-12-27,12,tik-511,,,
tik-512,2,Fish Eye Camera / DBSH,14,1,1,3,1,Fish Eye Camera / DBSH,1,2,1,2023-12-27,12,tik-512,,,
tik-513,2,Fish Eye Camera / DBSH,14,1,1,3,1,Fish Eye Camera / DBSH,1,2,1,2023-12-27,12,tik-513,,,
tik-514,2,Fish Eye Camera / DBSH,14,1,1,3,1,Fish Eye Camera / DBSH,1,2,1,2023-12-27,12,tik-514,,,
tik-515,2,Fish Eye Camera / DBSH,14,1,1,3,1,Fish Eye Camera / DBSH,1,2,1,2023-12-27,12,tik-515,,,
tik-516,2,Fish Eye Camera / DBSH,14,1,1,3,1,Fish Eye Camera / DBSH,1,2,1,2023-12-27,12,tik-516,,,
tik-517,2,Fish Eye Camera / DBSH,14,1,1,3,1,Fish Eye Camera / DBSH,1,2,1,2023-12-27,12,tik-517,,,
tik-518,2,Speedome Camera / DBSH,14,1,1,3,1,Speedome Camera / DBSH,1,2,1,2023-12-27,12,tik-518,,,
